10.128.0.0/14 Region 1 (eu-west-1)

    "10.128.0.0/15","ns3.mediait.ch","Size M","7.0%"

        "10.138.0.0/24","StackId: arn:aws:cloudformation:eu-central-1:452422222159:stack/SC-452422222159-pp-ytveaf545awg6/1981ca70-5a3e-11ea-82ac-0a3f741aced4 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.1.0/24","StackId: arn:aws:cloudformation:eu-central-1:668273420038:stack/SC-668273420038-pp-3nz3qb2tlr4lu/14861cf0-d470-11e9-9070-025adfcb1154 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.2.0/24","StackId: arn:aws:cloudformation:eu-central-1:090055978113:stack/SC-090055978113-pp-noqsv7miuh2sk/d931de70-48c6-11ea-a13f-0a75b60f3c60 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.3.0/24","StackId: arn:aws:cloudformation:eu-central-1:626293586879:stack/SC-626293586879-pp-uzllwad2hxg4u/5915c0b0-c51e-11ea-ba1d-064768627800 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.4.0/24","StackId: arn:aws:cloudformation:eu-central-1:626293586879:stack/SC-626293586879-pp-rzl5usojnxdxy/e247fa10-5ffb-11eb-a35b-0a8760f7d236 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.5.0/24","StackId: arn:aws:cloudformation:eu-central-1:078453322683:stack/SC-078453322683-pp-wf5l3w7zrtip6/18e56ed0-28d0-11eb-9abc-0ab7fff4b680 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.6.0/24","StackId: arn:aws:cloudformation:eu-central-1:279065545731:stack/SC-279065545731-pp-ucbsqu7hzqpa2/b6ab6590-443a-11eb-bca5-0a8760f7d236 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.7.0/24","StackId: arn:aws:cloudformation:eu-central-1:073971890859:stack/SC-073971890859-pp-acgxv7yufgkug/a926aa30-654e-11eb-9296-0207ca607726 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.8.0/24","StackId: arn:aws:cloudformation:eu-central-1:350774346140:stack/SC-350774346140-pp-237kmvtf5rj6c/85069c10-906d-11eb-8577-0a35fc2af642 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.9.0/24","StackId: arn:aws:cloudformation:eu-central-1:623213169507:stack/SC-623213169507-pp-h5m2gztdvvruq/700b2020-155a-11ec-92b5-06a310736f22 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.10.0/24","StackId: arn:aws:cloudformation:eu-central-1:925651263656:stack/SC-925651263656-pp-pxntptfjvaami/29d56800-b1a3-11ec-ab61-06fc9a8c5d32 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.11.0/24","StackId: arn:aws:cloudformation:eu-central-1:911453050078:stack/SC-911453050078-pp-paf5rovxnik66/89d61d20-2138-11ee-b7e6-0abb8d8fa83e LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.12.0/24","StackId: arn:aws:cloudformation:eu-central-1:058264297480:stack/SC-058264297480-pp-dqcbpuajf4ggi/949e7a30-f712-11ee-972a-0ac4d3fa9f79 LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.13.0/24","StackId: arn:aws:cloudformation:eu-central-1:284342531743:stack/SC-284342531743-pp-bnjj6g4565brq/b9bbca90-f715-11ee-92ba-06cc061aaa2b LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.14.0/24","StackId: arn:aws:cloudformation:eu-central-1:767397808304:stack/SC-767397808304-pp-dm6fhccokegk6/e4526010-33ac-11ef-af7c-0a30d02d34ef LogicalResourceId: VpcIpAddressesCustomResource"
        "10.138.15.0/24","StackId: arn:aws:cloudformation:eu-central-1:476222600614:stack/SC-476222600614-pp-basry6u2nblha/efe69090-49c3-11ef-8166-062d4ab526a9 LogicalResourceId: VpcIpAddressesCustomResource"


    "10.139.0.0/17","ns3.mediait.ch","Size L","0.0%",
    
    "10.139.128.0/17","ns3.mediait.ch","Size XL","0.0%",



